Tag,NodeID,Character,TextContent,NextID,IsChoice,Choice1Text,Choice1Next,Choice2Text,Choice2Next,Choice3Text,Choice3Next
C1,C1_START,玩家,"心靈專線您好！
請問有需要什麼協助嗎",C1_1,,,,,,,
,C1_1,角色一,"您​好，​我​想​諮詢​人​際上​的​問題​....
​就​是，​我​生命​裡​一​個​很​重要​的​存在​
突然​離開​了​..​..​",C1_2,,,,,,,
,C1_2,角色一,"我​發現除了​他​以​外
居然​*沒​有​半個​可以​說話​的​人​*​.....
​我​好*​孤​單*....",C1_3,,,,,,,
,C1_3,玩家,,,1,孤單,C1_Choice1_CN1_N1,沒​有​半個​可以​說話​的​人,C1_Choice1_CN2_N1,,
,C1_Choice1_CN1_N1,玩家,"孤單​是​一​個​訊號。​
​不​要​陷入​『​他​』​的​故事裡，
那​只​是​小​我​的​執著。​",C1_Choice1_CN1_N2,,,,,,,
,C1_Choice1_CN1_N2,玩家,"告​訴​我
這份​孤單​帶給​你​的​恐懼​是​什麼？",C1_Choice1_CN1_N3,,,,,,,
,C1_Choice1_CN1_N3,角色一,"恐懼……​我​恐懼​我​永遠​只​能​
​一​個​人待​在​這個​房​間裡，​",C1_Choice1_CN1_N4,,,,,,,
,C1_Choice1_CN1_N4,角色一,"​看​著​他​*​空掉​的​位子​*……
​我​真的​很​*​依賴*​他​……",C1_Choice1_CN1_N5,,,,,,,
,C1_Choice1_CN1_N5,玩家,,,1,空掉​的​位子​,C1_Choice2_CN1_N1,依賴,C1_Choice2_CN2_N1,,
,C1_Choice2_CN2_N1,玩家,"我​發現，​你​正在​利用​這個​『失​去』
​來扮​演​一​個​完美​的​受害者！",C1_Choice2_CN2_N2,,,,,,,
,C1_Choice2_CN2_N2,玩家,"​只要​你​繼續沉溺​在​悲傷​的​劇情裡
​你​就​永遠​有​正當​的​藉口
不​去​為​你​自己​的​人生負​責任！​",C1_Choice2_CN2_N3,,,,,,,
,C1_Choice2_CN2_N3,角色一,"是​我​自己​選擇​的​..​.？​
​有​可能…是​我​自己​躲​起來​了​…
​是​我​利用​了​他​的​陪伴​來逃避現實…",C1_Choice2_CN2_N4,,,,,,,
,C1_Choice2_CN2_N4,角色一,"​才​害得​我​那​麼​孤單
​我​怎麼​會​這麼​沒用……
​我​不​想​再​這樣​下去​了​..​....",C1_Choice2_CN2_N5,,,,,,,
,C1_Choice2_CN2_N5,玩家,,,1,推廣高級課程,C1_Choice3_CN1_N1,推廣普通課程,C1_Choice3_CN2_N1,,
,C1_Choice3_CN1_N1,玩家,"你​覺得​你​值得​被​投資嗎？​
如果​你​連​跨​出這​一步​的​勇氣​都​沒有
那​你​永遠​只會​是​一​隻​縮頭​烏龜",C1_Choice3_CN1_N2,,,,,,,
,C1_Choice3_CN1_N2,玩家,"困​在​虛假​的​殼裡！​
​加入​我​們，​報名​心靈成​長營",C1_Choice3_CN1_N3,,,,,,,
,C1_Choice3_CN1_N3,玩家,"走​出​真正​的​自己！​
​我​們​正​在​特價​中，​只​需要​八萬八。",C1_Choice3_CN1_N4,,,,,,,
,C1_Choice3_CN1_N4,角色一,"我​……​我​值得！​
​我​不​能​再​繼續爛​下去​了！​",C1_Choice3_CN1_N5,,,,,,,
,C1_Choice3_CN1_N5,角色一,"​我​不​想​再​當縮頭​烏龜​了！​
​我​要​為​了​他​勇敢​一​次！",C1_Choice3_CN1_N6,,,,,,,
,C1_Choice3_CN1_N6,玩家,,end,,,,,,,
C2,C2_START,玩家,"心靈專線您好！
請問有需要什麼協助嗎",C2_1,,,,,,,
,C2_1,角色二,"​我​跟​對象​在​一起​七年​了。
他​最近​脾氣​很​差、​不​愛理人
昨天連​我​生日​都​忘記​了。",C2_2,,,,,,,
,C2_2,角色二,"朋友​都​叫​我​分手
但​我​總覺​得​這對​他​不​公平…
其​實*​他​對​我​很​好​*​啊",C2_3,,,,,,,
